user_id,weekday,hour,ping_count
U001,0,0,37
U001,0,1,30
U001,0,2,32
U001,0,3,36
U001,0,4,32
U001,0,5,33
U001,0,6,30
U001,0,7,26
U001,0,8,34
U001,0,9,35
U001,0,10,34
U001,0,11,32
U001,0,12,34
U001,0,13,37
U001,0,14,33
U001,0,15,34
U001,0,16,32
U001,0,17,27
U001,0,18,33
U001,0,19,28
U001,0,20,30
U001,0,21,34
U001,0,22,28
U001,0,23,38
U001,1,0,34
U001,1,1,30
U001,1,2,35
U001,1,3,33
U001,1,4,34
U001,1,5,31
U001,1,6,34
U001,1,7,34
U001,1,8,31
U001,1,9,36
U001,1,10,32
U001,1,11,28
U001,1,12,33
U001,1,13,33
U001,1,14,35
U001,1,15,31
U001,1,16,32
U001,1,17,34
U001,1,18,28
U001,1,19,36
U001,1,20,33
U001,1,21,30
U001,1,22,29
U001,1,23,28
U001,2,0,38
U001,2,1,37
U001,2,2,32
U001,2,3,37
U001,2,4,39
U001,2,5,37
U001,2,6,37
U001,2,7,38
U001,2,8,36
U001,2,9,38
U001,2,10,37
U001,2,11,37
U001,2,12,37
U001,2,13,34
U001,2,14,34
U001,2,15,34
U001,2,16,35
U001,2,17,37
U001,2,18,40
U001,2,19,38
U001,2,20,37
U001,2,21,35
U001,2,22,34
U001,2,23,39
U001,3,0,31
U001,3,1,37
U001,3,2,36
U001,3,3,39
U001,3,4,33
U001,3,5,33
U001,3,6,38
U001,3,7,40
U001,3,8,35
U001,3,9,32
U001,3,10,37
U001,3,11,40
U001,3,12,36
U001,3,13,36
U001,3,14,35
U001,3,15,35
U001,3,16,31
U001,3,17,33
U001,3,18,34
U001,3,19,36
U001,3,20,37
U001,3,21,40
U001,3,22,39
U001,3,23,36
U001,4,0,36
U001,4,1,38
U001,4,2,34
U001,4,3,36
U001,4,4,35
U001,4,5,33
U001,4,6,42
U001,4,7,34
U001,4,8,36
U001,4,9,38
U001,4,10,35
U001,4,11,32
U001,4,12,40
U001,4,13,34
U001,4,14,36
U001,4,15,32
U001,4,16,37
U001,4,17,37
U001,4,18,37
U001,4,19,39
U001,4,20,35
U001,4,21,38
U001,4,22,35
U001,4,23,38
U001,5,0,37
U001,5,1,39
U001,5,2,37
U001,5,3,40
U001,5,4,37
U001,5,5,35
U001,5,6,40
U001,5,7,34
U001,5,8,34
U001,5,9,35
U001,5,10,39
U001,5,11,40
U001,5,12,29
U001,5,13,33
U001,5,14,37
U001,5,15,36
U001,5,16,36
U001,5,17,37
U001,5,18,39
U001,5,19,36
U001,5,20,36
U001,5,21,36
U001,5,22,31
U001,5,23,35
U001,6,0,35
U001,6,1,32
U001,6,2,32
U001,6,3,32
U001,6,4,33
U001,6,5,32
U001,6,6,31
U001,6,7,30
U001,6,8,34
U001,6,9,28
U001,6,10,33
U001,6,11,28
U001,6,12,31
U001,6,13,31
U001,6,14,29
U001,6,15,32
U001,6,16,32
U001,6,17,27
U001,6,18,35
U001,6,19,31
U001,6,20,30
U001,6,21,37
U001,6,22,31
U001,6,23,34
